"64","Education","0","Education","Education","1","<p>This is probably one of the smaller categories on GoPromoCodes.com. You can search the smaller categories for discount codes for learning toys and games, school supplies and educational software. This page will list all of them in no particular order, so it may be difficult to actually find the educational store you are looking for. But you can defintely find a promotion code to help you save on everything from microscopes to learning games to language software.</p>","Education Promo codes,education promotional codes,educational coupon codes,education online coupons","promo code to save on educational items, software, toys and games.","Education Promo Codes",",,",
"76","Flowers & Gifts","0","Flowers-Gifts","Flowers-Gifts","1","<p>Every occasion is a good occasion for sending flowers or gifts. Which is why we have so many promo codes to help you save on your order from all the top online florists and gift retailers. Use the sub-categories below to narrow down your coupon search and find the exact coupon you want for the retailer you are shopping at.</p>","Flowers and Gifts promo codes,flowers & gifts coupon codes,flowers and gifts promotional codes,","Use Flowers &amp; Gifts promo codes and coupon codes for online savings.","Flowers & Gifts Promo Codes",",,",
"81","Food","0","Food","Food","1","<p><span style=""white-space: pre;""> These are coupons to help you save on food and food related items. It is not our <a href=""../p/printable-grocery-coupons.html""></a></span></p>
<p><span style=""white-space: pre;""><a href=""../p/printable-grocery-coupons.html"">printable grocery coupons page</a>.</span> Although we do have a subcategory for groceries,</p>
<p>these are mostly for grocery deliveries. You can also narrow your search for</p>
<p>gourmet, sweets, beer, coffee and tea depending on what you are looking for.</p>
<p>We have promo codes for whatever food item you are looking to save on.</p>
<p>&nbsp;</p>","Food promo codes,food coupon codes,food promotional codes,food online coupons,","Use Food Coupon codes and promo codes for online savings.","Food Promo Codes",",,",
"86","Beauty","0","Beauty","Beauty","1","<p>Search the beauty category for promotional codes for all your beauty and grooming needs. Search the Fragrances, Skin Care, Make Up and Hair Care subcategories for more specific deals and coupon codes. Beauty retailers often have the best coupons, so be sure to take advantage of the subcategories to pin down the exact code you want for the store you are shopping at.</p>","Beauty Promo codes,Beauty coupon codes,beauty promotional codes,beauty online coupons,","Use beauty coupon codes and promo codes for online savings.","Beauty Promo Codes",",,","beauty,grooming,grooming products,"
"91","Health","0","Health","Health","1","<p><span style=""white-space: pre;""> As baby boomers are the first generation to use the internet and be comfortable with it,</span></p>
<p><span style=""white-space: pre;""> it would make sense that at this time in their lives they are interested in purchasing health </span></p>
<p>items online. With this main category you can save on health items for every part of your</p>
<p>body that may or may not be aching. Use the sub-categories to narrow down your coupon search.</p>","Health promo codes,health coupon codes,health promotional codes,health online coupons","Use Health Promo codes and Coupon Codes for online savings.","Health Promo Codes",",,",
"97","Home & Garden","0","HomeGarden","HomeGarden","1","<p>This is probably our largest category on the site. We have thousands of online promo codes to help you save on your home and garden orders. Instead of digging through all of these coupons on this page, use our sub-categories to narrow down your search. Choose from appliances, bed &amp; bath, blinds and curtains, cleaning items, eco-friendsly, furniture, home accents, home improvement, kitchen and outdoor living.</p>","Home and garden promo codes,home & garden coupon codes,home and garden promotional codes,","Use home and garden promo codes and coupon codes for online savings.","Home & Garden Promo Codes",",,",
"108","Jewelry & Watches","0","JewelryWatches","JewelryWatches","1","<p>We work with a bunch of the top online retailers for jewelry and watches. Most of them are great at offering coupon codes to help save on their order. Even though Jewelry and watches is a relatively small category, we do still have subcategories to help you find your discount quicker. You can search for fine jewelry, fashion jewelry or just watches by clicking on the sub-category links below.</p>","Jewelry promo codes,watches coupon codes,jewelry and watches promotion codes,jewelry & watches promotional codes,jewelry and watch online coupons,","Use Jewelry and Watch promo codes and coupon codes for online savings.","Jewelry & Watches Promo Codes",",,",
"112","Pets","0","Pets","Pets","1","<p>This is the pets category on our site. We only have one subcategory, which means we really should just have a main category with no sub-category. So the codes you find here are likely to be very similar to the codes you find in the supplies and medication section. However, it might be good to check both to see if they have some better discounts in one place or the other.</p>","Pets Promo Codes,Pets coupon codes,pets online coupons,pet promotional codes,","Use Pet promo codes and coupon codes for online savings.","Pets Promo Codes",",,",
"114","Travel","0","Travel","Travel","1","<p>Because travel is a big ticket items, with vacations costing thousands of dollars, it is one of our most popular categories for our users. A small coupon, say 5% off, can help a family save hundreds of dollars on their next vacation. We have sub-categories to help you save specifically on flights, hotels, rental cars, cruises, luggage and total vacation packages, so be sure to check those out to find exactly what you need.</p>","Travel Promo Codes,travel coupon codes,travel promotional codes,travel online coupons,","Use Travel promo codes and coupon codes for online savings.","Travel Promo Codes",",,",
"121","Sports","0","Sports","Sports","1","<p>This is my favorite category on the site since I am such a huge sports fan. You can find promo codes to help you save on athletic shoes, fan shop items and tickets, fitness equipment, sporting goods, outdoor gear and sports apparel. The sub-categories listed below will help you narrow down your search so you can find the coupon you want to use more quickly.</p>","Sports Promo Codes,Sport Coupon Codes,Sport Promotional Codes,Sport Online coupons,","Use Sports promo codes and coupon codes for online savings at top sports retailers.","Sports Promo Codes",",,",
"128","Software","0","computer-Software","Software","1","<p>There are so many different kinds of software, we had to create its own parent category. This is in addition to the software subcategory we have in our education category. In this section you will be able to find promotion codes to help you save on antivirus, business, computer performance, internet security, Mac, online storage and backup, photo editing, professional design and tax software. These are the subcategories we have below to help you narrow your search.</p>","Software promo codes,software coupon codes,soft ware promotional codes,software online coupons,","Use Software promo codes and coupon codes for online savings.","Software Promo Codes",",,",
"138","Office & Business","0","OfficeBusiness","OfficeBusiness","1","<p>Our office and business category has promo codes for a lot of essential items. Being a small business owner myself, I've used the coupons in this category many times. I've purchased business cards from VistaPrint, furniture from Office Depot, domains from GoDaddy and a printer from HP. Use the sub-categories below to find your deals easier in business cards and printing, miscellaneous, office furniture, supplies and organizers and web domains/hosting.</p>","Office and Business promo codes,office & business coupon codes,office promotional codes,business online coupons,","Use office and business promo codes and coupon codes for online savings at top retailers.","Office & Business Promo Codes",",,",
"143","Music","0","Music","Music","1","<p>This music category is one of the smallest parent categories on our site. It contains promo codes for music accessories, CDs, music merchandise, downloads and services and musical instruments. Each of these is a sub-category that can be accessed via a link below.</p>","music promo codes,music coupon codes,music promotional codes,music online coupon,","Use Music Promo Codes and coupon codes for online savings on music.","Music Promo Codes",",,",
"150","Expired Codes","0","ExpiredCodes","ExpiredCodes","0","<p>Here is a listing of all the expired coupon codes and deals that have been listed on GoPromoCodes.com. Although the promo codes may be listed as expired, it is possible that the deals or codes still work.&nbsp; We cannot guarantee that they will but feel free to try.</p>","expired promotional codes,expired coupon code,expired online coupons,expired promo codes, expired deals, expired coupons,","Use the expired coupon codes listed below for online savings at top internet retailers.","Expired Promo Codes",",,","expired,expired coupons,expired codes,expired promo codes,expired promotional codes,"
"151","*Special*","0","-Holidays-","-Holidays-","1","<p>There are special times of each year that people shop for specific gifts. This category highlights the specific holidays and seasons and the special coupons that go with them. We have special Christmas and Black Friday coupons, valentines day promo codes, Mother's Day promotional codes, Back to school savings an Halloween coupons so you can save on essential items.</p>","Free Christmas shopping promo codes, free black friday coupon codes, free cyber monday online coupons, free Valentines deals, Mothers Day promotions,","Use the holiday shopping promo codes for online savings at your favorite retailers during special times of the year.","Free Special Occasion Promo Codes",",,","christmas,christmas presents,holiday,holidays,holiday gifts,black friday,cyber monday,halloween,graduation,valentines day,mothers day,back to school,"
"159","*Exclusive Codes*","0","ExclusivePromotions","ExclusivePromotions","1","<p>This category has promotions that are exclusive to GoPromoCodes.com. The GoPromoCodes team has worked more closely with these advertisers to provide coupons that are of greater value than you normally can find at other sites on the internet. It would be great if loyal GoPromoCodes.com users would use these coupons more frequently. For example, say we have an exclusive offer for Teleflora, we would rather you use that offer code than one from 1800Flowers.com. This will make the retailers happy and then we can provide more and higher discounted codes.</p>","promo codes, coupon codes, discount codes, promotional offers, promotion codes","These are the best, highest value promo codes available online, only at GoPromoCodes.com","Exclusive Promo Codes and Coupons",",,","exclusive,exclusive coupons,exclusive codes,exclusive promo codes"
